Плюс очко|Очевидное плюс очко.
Волк-одиночка|Если в пределах десяти клеток на игровой карте в любую сторону от тебя есть другие стримеры (в том числе те, которые стоят с тобой на одной клетке), то ты получаешь минус столько очков, сколько стримеров находится в данных пределах. Если в пределах десяти клеток стримеры отсутствуют – плюс очко.
Щедрое колесо|Четыре других пункта на экране генератора распределяются между стримерами в онлайне кроме тебя на твой выбор. Передача начинается с первого по счету пункта. Один стример не может получить более одного пункта колеса, пункты Колеса при этом удаляются из твоего Колеса. Если присутствует пункт колеса, который в силу своего действия не может быть выполнен, этот пункт не учитывается и его существование игнорируется. Пункты, требующие реролла Колеса добра тоже игнорируются. Если стримеров в онлайне меньше чем пунктов колеса, оставшиеся пункты Колеса получаешь ты. Если в онлайне ты единственный - ты получаешь все пункта Колеса Добра и крутишь Колесо добра еще раз.
Выйду ночью в поле с конем|Если на момент выпадения/получения данного пункта Колеса добра за окном ночь (23:00-04:59 по твоему текущему времени), то конь несет тебя на пять клеток вперед. Если таким образом конь принес тебя на серую клетку, то конь несется вперед по номерным клеткам до следующей не-серой клетки. В ином случае - реролл Колеса добра.
Сброс доната|Стоимость Колеса добра сбрасывается до начальной. Если стоимость Колеса добра и так начальная - реролл Колеса добра.
Орел орел или решка решка|Брось монетку на плюс 2 очка или минус 2 очка.
Клад|Ты получаешь плюс 5 очков и Легендарную Бомбу Хиган!
Коммондор|Брось кубик d6. При выпадении 6 или 4, в инвентарь добавляются 6 или 4 Спецролла C64 соответственно. При выпадении 1 - Спецролл Amiga. При выпадении 2 или 5 – плюс очко. При выпадении 3 - плюс 2 очка.
Гамельнский крысолов|Все Крысиные Предметы из инвентаря каждого стримера в онлайне переходят к тебе. Если у стримера нет Крысиных Предметов или они у него все непередаваемые - ты получаешь от него Крысу. Если ты единственный в онлайне - получаешь Крысу.
На пенек сел|Минус 5 очков если никто не задонатит тебе 1000 ₽ в течение следующих 10 минут. 1000 ₽ могут быть задоначены как одним донатом так и несколькими. Все донаты идут в счет Колеса добра. Плюс очко если 1000 ₽ были задоначены.
Дьявольская монета|Выбирай Свин или Крысубль. Затем ты подкидываешь монетку и если выпало выбранное, продолжаешь подкидывать монетку пока не проиграешь. Плюс очко за каждый удачный бросок. Выбор делается перед первым броском и не меняется в процессе. Минус 3 очка если проиграл в первый бросок монетки. В остальных случаях при проигрыше получаешь свои плюс очки.
Крысиная раздача|Все стримеры в онлайне, включая тебя, получают по Крысе в инвентарь.
Компетитив перхапс|Ты роллишь число от -10 до +10 без ноля и получаешь выпавшее количество очков.
Перхапс компетитив|Ты роллишь число от -10 до +10 (включая ноль) и выпавшее число становится твоим количеством очков.
Тринадцать|Брось три кубика d6. Если сумма выпавших очков на кубике равна 13 – плюс 13 очков. Если на всех трех кубиках единички - минус 6 очков. В иных случаях - плюс очко.
Контролер рандома|Ты загадываешь число от 1 до 6 включительно и бросаешь кубик d6. Если выпало загаданное число - плюс 3 очка. В иных случаях - минус очко.
Три по цене одного|Колесо добра роллится еще раз, и выполняются третий (средний), четвертый и пятый пункты Колеса добра. Приоритет выполнения пунктов сверху вниз. Пункты, требующие реролла Колеса добра игнорируются.
Жертвенный зал|Ты получаешь столько Алтарей жертвоприношения сколько Предметов у тебя в инвентаре. Если Предметы в инвентаре отсутствуют – реролл Колеса добра.
Давайте уберем Спектрум!|Минус очко, если ты уже играл (не важно прошел, реролльнул или дропнул) в игру с платформы ZX Spectrum. Плюс очко в ином случае.
Максимальный риск|Брось кубик d12. Четное число прибавляет это число к твоим очкам. Нечетное число минусует это число от твоих очков (может уходить в минус).
Варп-зона|Ты телепортируешься на первую клетку ближайшей зоны Обхода, находящуюся в радиусе 20 клеток в любую сторону от тебя. Если таких зон несколько - зона на твой выбор. После телепортирования, все стримеры, которые находятся на расстоянии 15 клеток от тебя (в том числе и те, кто оказались с тобой на одной клетке), телепортируются на твою клетку (первую клетку твоей зоны Обхода). Если ты и так находишься в такой зоне, то телепортируешь всех стримеров, находящихся на расстоянии 15 клеток от себя (в том числе и тех, кто с тобой на одной клетке) на свою текущую клетку. Если в радиусе 20 клеток нет таких зон или нет стримеров в радиусе 15 клеток при условии, что ты и так находишься в зоне Обхода - реролл Колеса добра.
Волшебная шляпа|Вот это фокус! Плюс столько очков сколько у тебя Эффектов, а потом минус столько очков сколько у тебя Предметов. Если Эффекты и Предметы у тебя отсутствуют - реролл Колеса добра.
Волшебная шляпa|Вот это фокус! Иди вперед на количество своих Эффектов, а затем иди назад на количество своих Предметов. После этого покрути столько Колес добра сколько у тебя Спецроллов. Шаг вперед на карте если нифига у тебя в инвентаре нет.
Вoлшебная шляпа|Вот это фокус! Каждый нечетный Предмет в твоем инвентаре (считать сверху вниз) получает примечание «Невозможно использовать». Если Предметы в инвентаре отсутствуют, то получаешь Запретное зелье.
Волшeбнaя шляпа|Вот это фокус! Покрути три бесплатных Колеса добра.
Вoлшeбнaя шляпа|Вот это фокус! Все твои Эффекты превращаются в Бомбы с таймером 1 секунда. А также заролль двух других случайных стримеров и выдай им по Детонатору.
Вoлшeбная шляпа|Вот это фокус! Ты получаешь Спецролл SNES и Эффект S-Проклятие!
Вoлшебнaя шляпа|Вот это фокус! Каждый твой Предмет в инвентаре превращается в Шляпу! Если Предметов нет или их все невозможно превратить - реролл Колеса добра.
Boлшебная шляпа|Вот это фокус! Если в твоем инвентаре есть какие-либо Улучшенные, Редкие или Эпические Предметы - все они становятся своими Золотыми версиями (если Золотые версии существуют). Если таких Предметов нет, их невозможно превратить или Золотых версий твоих Предметов нет - получи Конфетку.
Вoлшeбнaя шляпa|Вот это фокус! Ты получаешь количество плюс очков в зависимости от того какой у тебя сейчас донат-гол на Колесо добра по схеме: 300 ₽ - плюс очко, 600 ₽ - плюс 2 очка и т.д. Если у тебя донат-гол 6300 ₽ и выше - получаешь плюс 30 очков!
Boлшeбнaя шляпa|Вот это фокус! Брось монетку на Гера или Легендарный Гитман в мешке. Затем все твои Спецроллы превращаются в Спецроллы, выпавшие на монетке. Если Спецроллов в инвентаре нет или все они повышенного приоритета, то получи Геру и Легендарного Гитмана в мешке.
Bолшeбнaя шляпa|Вот это фокус! Пройди на шесть клеток вперед, затем на пять клеток назад, потом на четыре клетки вперед, после этого на три клетки назад, а после этого на две клетки вперед и, наконец, на одну клетку назад.
Волшeбнaя шляпa|Вот это фокус! Бросаешь d4-кубик и получаешь выпавшее количество плюс очков. Бросаешь d6-кубик и получаешь выпавшее количество минус очков. Бросаешь d8-кубик и получаешь выпавшее количество плюс очков. Бросаешь d10-кубик и получаешь выпавшее количество минус очков. Бросаешь d12-кубик и получаешь выпавшее количество плюс очков. Бросаешь d20-кубик и получаешь выпавшее количество минус очков.
Boлшебная шляпa|Вот это фокус! Ты роллишь стримера и обмениваешься с ним Эффектами без счетчика. Но фокус с нюансом! Ты получаешь не сам Эффект, а Бегемота в котором лежит Эффект наролленного стримера. Тот стример также получает Бегемота с твоим Эффектом. Эффекты без счетчика у вас соответственно уничтожаются. Если у кого-то одного нет Эффектов - не беда, вероятно, кому-то из вас повезло. Если ты нароллил стримера, и у тебя при этом нет Эффекта, и у него тоже нет - ролль другого стримера, хоть у кого-то должно найтись.
Bолшебнaя шляпa|Вот это фокус! Уничтожаются все твои Предметы, Эффекты и Спецроллы. Очков становится ноль. Сбрасывается стоимость Колеса добра до начальной.
Вoлшeбная шляпa|Вот это фокус! Все Предметы у тебя уничтожаются, однако за каждый уничтоженный Предмет, ты получаешь Предметный Лутбокс! Если у тебя нет Предметов, то получаешь три Предметных Лутбокса!
Boлшeбнaя шляпа|Вот это фокус! Количество твоих Слез стало 500!
Bолшебная шляпa|Вот это фокус! Получи Предмет Легендарный Лутбокс с примечанием «Невозможно использовать»!
Трясучка|Относится только к стримерам, находящимся в онлайне, включая тебя. Стримеры, находящиеся на нечетных местах в лидерборде, перемещаются на одну клетку назад. Стримеры, находящиеся на четных местах в лидерборде, перемещаются на одну клетку вперед.
Риск|Брось кубик d4. Четное число прибавляет это число к твоим очкам. Нечетное число минусует это число от твоих очков (может уходить в минус).
Чет-нечет|Брось кубик d6. Четное число прибавляет это число к твоим очкам. Нечетное число минусует это число от твоих очков (может уходить в минус).
Хождение по краю|Брось кубик d8. Четное число прибавляет это число к твоим очкам. Нечетное число минусует это число от твоих очков (может уходить в минус).
Телепорт|Ты телепортируешься на клетку к другому рандомно выбранному стримеру. Телепорт ломается и работает как Сломанный Телепорт если выпал стример, находящийся с тобой на одной клетке.
Позитивный телепорт|Ты телепортируешься на клетку к другому рандомно выбранному стримеру, находящемуся впереди тебя. Если ты находишься на первом месте - используешь Телепорт!
Негативный телепорт|Ты телепортируешься на клетку к другому рандомно выбранному стримеру, находящемуся позади тебя. Если ты сам находишься на последнем месте - используешь Телепорт!
Сломанный телепорт|Телепортирует тебя на одну клетку назад или одну клетку вперед на твой выбор.
Магнетический телепорт|Телепортирует всех стримеров, которые находятся на расстоянии от тебя 15 клеток и менее (в том числе и тех, кто находится с тобой на одной клетке) на твою клетку. Если такие стримеры отсутствуют, то ты бросаешь монетку на телепорт на ближайшего стримера позади или телепорт на ближайшего стримера впереди, но если впереди или позади тебя не окажется стримера - телепортишься в ту сторону в которой есть стример.
Золотой телепорт|Ты телепортируешься на клетку к другому рандомно выбранному стримеру. Золотой Телепорт ломается и работает как Сломанный Телепорт если выпал стример, находящийся с тобой на одной клетке. После данной телепортации, в том числе если получилось так, что сработал Сломанный телепорт, бросаешь монетку на еще одну телепортацию по тому же принципу или ничего, соответственно телепортируясь дальше или оставаясь на текущей позиции, до тех пор пока не выпадет «ничего».
Штирлиц живет этажом выше|Выполни пункт Колеса добра, находящийся выше выпавшего (второй в списке сверху вниз). Если этим пунктом Колеса добра является данный пункт - реролл Колеса добра.
Меценат|Отдай все свои очки (даже отрицательные) любому другому стримеру на свой выбор. У тебя должно стать ноль очков. Если у тебя и так ноль очков - получаешь плюс 3 очка. Пояснение: Если у тебя минус 13 очков, ты отдаешь очки со знаком минус, и у другого стримера от его суммы очков отнимается 13. Если у тебя плюс 13 очков, то у другого стримера к его сумме очков прибавляется 13.
Тонущий корабль|Все Крысиные Предметы из инвентарей всех стримеров в онлайне (включая тебя) уничтожаются. Стримеры в онлайне (включая тебя) у которых в данный момент не было Крысиных Предметов в инвентаре получают плюс очко.
Благотворительность|Отдай два любых Предмета из своего инвентаря двум другим стримерам на свой выбор. Каждому по Предмету. Если Предметы отсутствуют или только один - реролл Колеса добра. Если не желаешь делиться или в инвентаре только непередаваемые предметы - бросай монетку на плюс-минус очко.
Свинство|Раздаешь весь свой инвентарь (Предметы, Эффекты и Спецроллы) всем стримерам в онлайне, кроме себя. Каждый в онлайне должен получить от тебя одинаковое количество объектов инвентаря. Все действия на твой выбор, если кому-то не хватило - ну что ж. Реролл Колеса добра если твой инвентарь пуст или непередаваем или ты единственный в онлайне.
Топографический кретинизм|Плюс очко если заблудился в своей текущей игре. Минус очко в ином случае. Минус 2 очка если еще не начинал играть в свою текущую игру, чтобы учился байтить на колеса во время игры, а не до.
Нормальный герой|Если стоишь на клетке без номера - плюс очко, если клетка начинается с цифры - минус очко.
Математика|Ты получаешь столько минус очков какая цифра присутствует в названии последних трех пройденных или дропнутых тобой игр, не считая текущую. Если цифр несколько, следует выбирать наибольшую. Если цифры в названиях отсутствуют – плюс очко. Римские цифры считаются как арабские. Если у тебя игр три и меньше (не считая реролльных) - реролл Колеса добра. Урок математики: Число — единица счета, выражающая количество (один дом, два дома, пятнадцать домов и т.д.). Цифра — знак (символ), обозначающий значение числа. Цифры - это 1, 2, 3, 4, 5, 6, 7, 8, 9, 0. Числа - это 3, 15, 348, 5322 и т.д. Число может быть и 1, это значит что оно состоит из одной цифры - 1. Например, если у тебя есть игра SimCity 2000, то выбираешь цифру 2 как наибольшую и получает минус 2 очка.
Проклятая математика|Ты получаешь столько минус очков какая цифра присутствует в названии последних пяти пройденных или дропнутых тобой игр, не считая текущую. Если цифр несколько, то складываешь их все и получаешь это количество минус очков. Если цифры в названиях отсутствуют – плюс очко. Римские цифры считаются как арабские. Если у тебя игр пять и меньше (не считая реролльных) - реролл Колеса добра. Урок математики: Число — единица счета, выражающая количество (один дом, два дома, пятнадцать домов и т.д.). Цифра — знак (символ), обозначающий значение числа. Цифры - это 1, 2, 3, 4, 5, 6, 7, 8, 9, 0. Числа - это 3, 15, 348, 5322 и т.д. Например, если у тебя есть игра SimCity 2000 и игра Prehistorik 2, то ты складываешь 2 + 0 + 0 + 0 + 2 и получаешь минус 4 очка.
Три сосны|Если ты находишься в зоне Обхода, то телепортируешься на первую клетку данной зоны Обхода. В ином случае, в том числе если ты и так на данной клетке – плюс очко.
Нужная тропинка|Если ты находишься в зоне Обхода, то телепортируешься на последнюю клетку данной зоны Обхода. В ином случае, в том числе если ты и так на данной клетке – плюс очко.
Клон-машина|Покрути еще одно Колесо добра после выпадения или получения этого пункта. Если на экране генератора присутствуют Предметы, Эффекты или Спецроллы (включая косвенно получаемые Предметы, Эффекты и Спецроллы), то это получаешь ты и все остальные стримеры в онлайне. Если Предметы, Эффекты и Спецроллы отсутствуют, в том числе не считаются Предметы, Эффекты или Спецроллы, которые получаются в результате выбора, например, от броска монетки, выполняешь выпавший пункт Колеса добра как обычно.
Плюс игра на все платформы|Ты получаешь десять Спецроллов в инвентарь в следующем порядке: NES, Game Boy, Master System, SMD, SNES, TG16, GBA, DOS, С64, PS1. Спецролл NES при этом повышенного приоритета.
Хрюша-повторюша|Ты выполняешь свой предыдущий пункт Колеса добра. Реролл Колеса добра, если предыдущими пунктами Колеса добра были пункты, которые невозможно повторить, например «Хрюша-повторюша» или «Сектор ПРИЗ», или этот пункт выпал в твоем первом колесе в ивенте.
Гулять так гулять|Покрути два бесплатных Колеса добра. Стоимость Колеса добра сбрасывается до начальной.
Двадцатигранник|Брось кубик d20. 4-10 = плюс очко. 11-17 = минус очко. 1-3 = минус 2 очка. 18-20 = плюс 2 очка.
Пятое колесо|Пятое Колесо добра после этого будет крутится по правилам пункта «Три по цене одного».
День рождения|Стримеры, которые находятся сейчас онлайн должны отдать тебе по одному Предмету из своего инвентаря на свой выбор. Если у кого-либо из стримеров инвентарь пуст или в нем только непередаваемые Предметы, то он отдает очко, даже если может уйти в минус или уже находится в минусе. Если ты единственный в онлайне - реролл Колеса добра.
Подначивание|Брось монетку. Один исход: кладешь в свой инвентарь Сговор, другой - Два вора и монета. Затем роллишь трех других стримеров, и они также кидают монетку с такими же исходами. Если нароллились стримеры в оффлайне, то ты кидаешь монетку за них, и выдаешь им соответствующее тому что выпало на монетке.
Любимая платформа|Ты роллишь игру из списка «Кот в мешке». Все стримеры, включая тебя, кто играет в игру на этой же платформе, что и наролленная игра  -  получают плюс очко. Если на данной платформе никто не играет - получаешь плюс 2 очка. Выпавшую игру при этом проходить не нужно :D
Вингардиум левиоссса|Ты должен рассечением и взмахом волшебной палочки, а также произнесением заветного заклинания поднять любого другого стримера по своему желанию в пределах 50 клеток от своего местоположения (учитываются и стримеры, находящиеся с тобой на одной клетке) и телепортировать его на любое место в пределах 5 клеток по его местоположению. При отсутствии рядом таких стримеров – плюс очко.
Мертвый манчкин|Если одна из трех твоих предыдущих игр была дропнута, то два других рандомных стримера, находящихся сейчас онлайн забирают по одному Предмету на свой выбор из твоего инвентаря, а ты также получаешь минус 5 очков. Реролльнутые игры не учитываются. Очередность стримеров - на твой выбор. Если онлайн только один стример - он забирает себе два Предмета. Если у тебя нечего забирать или все Предметы непередаваемые - плюс очко. Если три предыдущие игры былы пройдены или онлайн никого нет – плюс очко. Реролл Колеса добра если пункт выпал на первой игре в ивенте или все предыдущие игры реролльнутые.
Хороший манчкин|Если предыдущая твоя игра была пройдена, ты получаешь Шоколадку, Свинью, Крысу и Гремлина. Реролльнутые игры не учитываются. Если предыдущая игра была дропнута - минус 3 очка. Реролл Колеса добра если пункт выпал на первой игре в ивенте или все предыдущие игры были реролльнутые.
Экстраверт|Если в пределах десяти клеток от тебя есть другие стримеры (в том числе те, которые стоят с тобой на одной клетке), то ты получаешь плюс столько очков, сколько стримеров находится в данных пределах. Если в пределах десяти клеток стримеры отсутствуют – минус 2 очка.
Я разрешаю рероллить|Ты получаешь Реролл, Эпический Реролл и Золотой Реролл!
Помощь лидерам|Все стримеры в онлайне кто позади тебя - минус очко. Все стримеры в онлайне кто впереди тебя - плюс очко. Ты не получаешь очков в любом случае. Реролл Колеса добра если ты единственный в онлайне.
